Geological_Feature,Setting,Constraint_Type,Definition,Piles_Assessment,Suction_Caisson_Assessment,GBS_Assessment,Cables_Assessment,Dominant_Constraint,Comments,References
Peat (organic-rich),Sediments,Lithology ,"Superficial deposits. Type of soil formed by the partial decomposition of vegetation matter (Cook et al., 2022). Includes submerged forests. ",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Organic soils,"Organic soils can also be associated with biogenic gas due to the breakdown of organic matter. Fibrous peats have the ability to reinforce soils, causing issues for cable trenching works, and can also provide fluid migration pathways.","Brown, A., Russell, J., Scaife, R., Tizzard, L., Whittaker, J. and Wyles, S.F., 2018. Lateglacial/early Holocene palaeoenvironments in the southern North Sea Basin: new data from the Dudgeon offshore wind farm. Journal of Quaternary Science, 33(6), pp.597-610.

Eaton, S.J.  (2021) Landscape response to glacial-interglacial cycles: insights from a southern North Sea offshore wind farm dataset. PhD thesis, University of Leeds.

Waller, M. and Kirby, J., 2021. Coastal peat?beds and peatlands of the southern North Sea: their past, present and future. Biological Reviews, 96(2), pp.408-432."
Glauconite,Sediments,Lithology,"Superficial deposits. Glauconite is an iron potassium mica with a characteristically green colour and low strength, often found in peloidal form. Glauconite generally forms under reducing conditions within a shallow marine depositional environment. Glauconite can be characterised as sand-sized grains but transforms into fine-grained soil upon shearing due to particle crushing.",Higher Constraint,Higher Constraint,Higher Constraint,Moderate constraint,Crushable soil,Crushing of glauconite results in high pile friction and transition from sand to clay-like behaviour. May result in pile fatigue or refusal. Difference in properties between allogenic (reworked) vs. authogenic (insitu). Reworked glauconite can wash away weaker minerals. ,"Westgate, Z., McMullin, C. and DeGroot, D., 2022, December. Glauconite Sand Challenges for US Offshore Wind Development. In International Conference on Offshore Mechanics and Arctic Engineering (Vol. 86618, p. V001T02A002). American Society of Mechanical Engineers.

Perikleous, G., Meissl, S., Diaz, A.T., Stergiou, T. and Ridgway-Hill, A., 2023, September. Monopile installation in glauconitic sands. In SUT Offshore Site Investigation and Geotechnics (pp. SUT-OSIG). SUT."
Soft mud,Sediments,Lithology,Superficial deposits. May include marine mud basins including soft glaciolacustrine/glaciomarine (not overconsolidated) mud deposition or other soft muddy shelfful deposits. ,Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Soft sediments,"A hard stratum overlying a weaker one presents a danger that may cause a foundation to punch through the softer sediments. Low strength means soft muds will not bear large loads. Acid sulphate soils (ASS) may contain harmful substances affecting cables, when exposed and/or dredged in coastal areas (Finland).","Coughlan, M., Trafford, A., Corrales, S., Donohue, S., Wheeler, A.J. and Long, M., 2023. Geological and geotechnical characterisation of soft Holocene marine sediments: A case study from the north Irish Sea. Engineering Geology, 313, p.106980.

Prins, L.T., Andresen, K.J., Owen, M.J. and Knutz, P.C., 2022. A review of subsurface geosystems and de-risking offshore construction in the Danish North Sea. GEUS Bulletin, 52."
Soft interbedded sediment,Sediments,Lithology ,Superficial deposits,Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Soft sediments,A hard stratum overlying a weaker one presents a danger that may cause a foundation to punch through the softer sediments. Interbedded layers of soft/hard material can cause differential settlement. ,"Coughlan, M., Trafford, A., Corrales, S., Donohue, S., Wheeler, A.J. and Long, M., 2023. Geological and geotechnical characterisation of soft Holocene marine sediments: A case study from the north Irish Sea. Engineering Geology, 313, p.106980."
Interbedded sediments,Sediments,Lithology,Superficial deposits,Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Interbedded sediments,"The level of Constraint will depend on the thickness, soil type and consistency (strength) of the soil and therefore these 'Constraint' levels are indicative only. 

Interbedded layers of soft/hard material can cause differential settlement. ","Macdonald, C.; Stevens, D.; Arnhardt, R.; Carter, G.D.O.; Johnson, K.R.; Coombs, W.M.; Bird, R.E.; Augarde, C.E.; Brown, M.J.; Sharif, Y.U.. 2025. Regional analysis of layered soils in the shallow subsurface across the North Sea for offshore cable burial. In: 5th International Symposium on Frontiers in Offshore Geotechnics, Nantes, France, 9-13 June 2025. International Society for Soil Mechanics and Geotechnical Engineering. DOI: https://doi.org/10.53243/ISFOG2025-383.

Johnson, K.R.; Carter, G.D.O.; Macdonald, C.. 2024 Layered soils in the shallow subsurface (<6.0 m), North Sea; a data report. Nottingham, UK, British Geological Survey, 40pp. (OR/24/031).

Macdonald, C., Carter, G.D.O., Johnson, K.R., Coombs, W.M., Bird, R.E., Brown, M.J.Z., & Sharif, Y.U. (2023). Depth of Lowering and Layered Soils; a case study from across the North Sea. Proceedings of the 9th International Conference, London UK, ISSN 2754-6322. "
Firm to hard mud,Sediments,Lithology ,Superficial deposits,Moderate constraint,Higher Constraint,Moderate constraint,Moderate constraint,Homogenous sediments,Avoided soils for suction buckets.,"Le, T.M.H., Eiksund, G.R., Strøm, P.J. and Saue, M., 2014. Geological and geotechnical characterisation for offshore wind turbine foundations: A case study of the Sheringham Shoal wind farm. Engineering geology, 177, pp.40-53."
Sand,Sediments,Lithology ,Superficial deposits,Lower Constraint,Moderate constraint,Higher Constraint,Lower Constraint,Homogenous sediments,Present-day sands may be related to mobile sediments. Dense sands could be problematic for suction buckets. Loose sands would be problematic for GBS.,"Harris, J.M., Whitehouse, R.J. and Sutherland, J., 2011, January. Marine scour and offshore wind: lessons learnt and future challenges. In International conference on offshore mechanics and arctic engineering (Vol. 44373, pp. 849-858).
Le Bot, S., Van Lancker, V., Deleu, S., De Batist, M., Henriet, J.P. and Haegeman, W., 2005. Geological characteristics and geotechnical properties of Eocene and Quaternary deposits on the Belgian continental shelf: synthesis in the context of offshore wind farming. Netherlands Journal of Geosciences, 84(2), pp.147-160."
Gravel,Sediments,Lithology ,Superficial deposits,Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Coarse soil units (including gravel),Hard substate that may be difficult to penetrate.,"Van den Eynde, D., Baeye, M. and Van Lancker, V., Effect of wind farms on the siltation of gravel beds (https://www.health.belgium.be/en/eden2000-full-report)"
Diamicton,Sediments,Lithology ,Superficial deposits,Moderate constraint,Higher Constraint,Moderate constraint,Moderate constraint,Overconsolidated clays,"Over consolidated clay or associated presence of boulder fields can cause challenges for construction (e.g., Finland)","Le, T.M.H., Eiksund, G.R., Strøm, P.J. and Saue, M., 2014. Geological and geotechnical characterisation for offshore wind turbine foundations: A case study of the Sheringham Shoal wind farm. Engineering Geology, 177, pp.40-53.

Solhjell, E., Moellenbeck, D., Yang, S. and Lakeman, J.W., 2024, April. Geotechnical Properties of Subglacial Till at Baltic Sea Offshore Wind Farm Sites. In Offshore Technology Conference (p. D021S019R002). OTC.

Evans, D.J., Roberts, D.H. and Phillips, E., 2024. The late Quaternary glacial depositional environment at Filey Bay, eastern England: Accretionary mechanisms for thick sequences of tills and stratified diamictons. Proceedings of the Geologists' Association."
Carbonate sands,Sediments,Lithology,"Calcareous and carbonate soils can be identified by their reaction with dilute hydrochloric acid, producing carbon dioxide that bubbles off. The grains consists partially or completely of calcium carbonate and may be formed of the skeletal remains of microscopic marine plant and animal remains. Calcium carbonate is a relatively soft mineral compared with silica-based soils (Mitchell and Soga, 2005). ",Moderate constraint,Moderate constraint,Moderate constraint,Moderate constraint,Crushable soil,"The crushability of carbonate grains make carbonate sands unreliable foundation materials (Murff, 1987; Jewell and Khorshid 2000; Kolk, 2000). Calcareous sands are difficult to classify and can be highly contractive. ","Watson, P.G., Bransby, M.F., Delimi, Z.L., Erbrich, C.T., Finnie, I., Krisdani, H., Meecham, C., O’Neill, M., Randolph, M.F., Rattley, M. and Silva, M., 2019, November. Foundation design in offshore carbonate sediments-building on knowledge to address future challenges. In XVI Pan-American Conference on Soil Mechanics and Geotechnical Engineering (XVI PCSMGE), From Research to Applied Geotechnics (pp. 240-274)."
Evaporites,Sediments,Lithology ,Any of a variety of individual minerals found in the sedimentary deposit of soluble salts that results from the evaporation of water. Can influence shallow structure (e.g. faulting),Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Uneven ground,Can form doming features in the subsurface or at seabed (diapirs) and prone to moving,"Duffy, O., Hudec, M., Peel, F., Apps, G., Bump, A., Moscardelli, L., Dooley, T., Fernandez, N., Bhattacharya, S., Wisian, K. and Shuster, M., 2023. The role of salt tectonics in the energy transition: An overview and future challenges. Tektonika, 1(1)."
Basin / basin plain / intraslope basin,Physiography,Relief,"A depression more or less equidimensional in plan and of variable extent. (Stagpoole and Mackay, 2022)",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Soft soil units,Soft sediments likely to be deposited in deep basins ,"https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf
Dove et al. (2020) https://zenodo.org/records/4075248
Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Shelf break,Physiography,Relief,The line along which there is a marked increase in slope at the seaward margin of a SHELF. Also called SHELF BREAK.,Higher Constraint,Higher Constraint,Higher Constraint,Moderate constraint,>5 degree slope,"May require seabed preparation before installation of foundations, however if steep slopes then the site is likely going to be problematic to develop. Cables have ability to ","https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf
Dove et al. (2020) https://zenodo.org/records/4075248
Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Mound,Physiography,Relief,"A distinct elevation with a rounded profile generally less than 500 m above the surrounding relief as measured from the deepest isobath that surrounds most of the feature. Sides are usually steeper than 5 degrees. (Stagpoole and Mackay, 2022)",Moderate constraint,Moderate constraint,Moderate constraint,Moderate constraint,Uneven ground,May require seabed preparation before installation of foundations.,"https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf
Dove et al. (2020) https://zenodo.org/records/4075248
Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Terrace,Physiography,Relief,"A flat or gently sloping region, generally long and narrow, bounded along one edge by a steeper descending slope and along the other by a steeper ascending slope. Usually less than two degrees. (Stagpoole and Mackay, 2022)",Moderate constraint,Moderate constraint,Moderate constraint,Moderate constraint,Uneven ground,May require seabed preparation before installation of foundations. Terraces likely to have steeper slopes than mounds,"https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf
Dove et al. (2020) https://zenodo.org/records/4075248
Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Trough,Physiography,Relief,"A long depression generally wide and flat-bottomed with symmetrical and parallel sides. Sides usually steeper than 5 degrees. (Stagpoole and Mackay, 2022)",Moderate constraint,Moderate constraint,Moderate constraint,Moderate constraint,Uneven ground,"May require seabed preparation before installation of foundations. Sometimes, troughs can be dynamic environments and mobile sediments can be present.","https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf
Dove et al. (2020) https://zenodo.org/records/4075248
Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
