Geological feature inventory,Spatial soil variability (lateral/vertical),Rafts or boulders,Coarse soil units (including gravel),Soft  soil units - low shear strength ,Overconsolidation (clays / extremely dense sands),Strong bedrock at/near seabed,Uneven ground (relief),Steep slopes/margins (>5 degree angle),Active sedimentary system (inc. mobile sediments),Shallow water (<15-20 m),Deep water (<200 m),Potential fault reactivation/seismic activity,Potential  slope failure,Potential volcanic activity,Potential conduit for fluids,Active fluid flow,Organic soils/gassy sediments,Unknown
Peat (organic-rich),x,,,x,,,,,,,,,,,,,x,
Glauconite,,,,x,,,,,,,,,,,,,,
Soft mud,,,,x,,,,,,,,,,,,,,
Soft interbedded sediment,,,,x,,,,,,,,,,,,,,
Interbedded sediments,x,,,,,,,,,,,,,,,,,
Firm to hard mud,,,,,x,,,,,,,,,,,,,
Sand,,,x,,,,,,,,,,,,,,,
Gravel,,,x,,,,,,,,,,,,,,,
Diamicton,x,x,,,x,,,,,,,,,,,,,
Carbonate sands,,,,,,,,,,,,,,,,,,
Evaporites,,,,,,,,,,,,,,,,,,
Basin / basin plain / intraslope basin,,,,x,,,,,,,,,,,,,,
Shelf break,,,,,,,,x,x,,,,,,,,,
Mound,,,,,,,x,x,,,,,,,,,,
Terrace,,,,,,,x,,,x,x,,,,,,,
Trough,,,,,,,x,x,,,,,,,,,,
Ridge,,,,,,,x,x,,,,,,,,,,
Moat,,,,,,,x,x,,,,,,,,,,
Plateau / topographic high,,,,,,,x,x,,,,,,,,,,
Depression/ hole,,,,,,,x,x,,,,,,,,,,
"Glacifluvial delta
(aka. glacier-fed
delta)",x,,x,,,,x,x,,,,,,,,,,
"Glacifluvial
outwash plain
(sandur)",x,,x,,,,x,,,,,,,,,,,
"Grounding zone
wedge",x,x,,x,x,,,,,,,,,,,,,
Erratic or glaciotectonic raft,x,x,,,,,x,x,,,,,,,,,,
Hill-hole pair,x,,,,,,x,,,,,,,,,,,
Hummocky terrain (including crevasse squeeze ridges),x,,,,,,,,,,,,,,,,,
Ice-contact delta (includes ice proximal fan),x,,x,,,,x,x,,,,,,,,,,
