Geological_Feature,Setting,Process,Constraint_Type,Definition,Piles_Assessment,Suction_Caisson_Assessment,GBS_Assessment,Cables_Assessment,Dominant_Constraint,Comments
"Peat (organic-rich)",Sediments,Lithology,Lithology,"Superficial deposits. Type of soil formed by the partial decomposition of vegetation matter. Includes submerged forests.",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Organic soils,"Organic soils can also be associated with biogenic gas due to the breakdown of organic matter. Fibrous peats have the ability to reinforce soils causing issues for cable trenching works."
Glauconite,Sediments,Lithology,Lithology,"Glauconite is an iron potassium mica with a characteristically green colour and low strength often found in peloidal form. Transforms into fine-grained soil upon shearing due to particle crushing.",Higher Constraint,Higher Constraint,Higher Constraint,Moderate constraint,Crushable soil,"Crushing of glauconite results in high pile friction and transition from sand to clay-like behaviour. May result in pile fatigue or refusal."
"Soft mud",Sediments,Lithology,Lithology,"May include marine mud basins including soft glaciolacustrine/glaciomarine mud deposition or other soft muddy deposits.",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Soft sediments,"A hard stratum overlying a weaker one presents a danger that may cause a foundation to punch through the softer sediments. Low strength means soft muds will not bear large loads."
"Soft interbedded sediment",Sediments,Lithology,Lithology,"Superficial deposits",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Soft sediments,"A hard stratum overlying a weaker one presents a danger that may cause a foundation to punch through the softer sediments. Interbedded layers of soft/hard material can cause differential settlement."
"Interbedded sediments",Sediments,Lithology,Lithology,"Superficial deposits",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Interbedded sediments,"The level of constraint will depend on the thickness soil type and consistency. Interbedded layers of soft/hard material can cause differential settlement."
"Firm to hard mud",Sediments,Lithology,Lithology,"Superficial deposits",Moderate constraint,Higher Constraint,Moderate constraint,Moderate constraint,Homogenous sediments,"Avoided soils for suction buckets."
Sand,Sediments,Lithology,Lithology,"Superficial deposits",Lower Constraint,Moderate constraint,Higher Constraint,Lower Constraint,Homogenous sediments,"Present-day sands may be related to mobile sediments. Dense sands could be problematic for suction buckets. Loose sands would be problematic for GBS."
Gravel,Sediments,Lithology,Lithology,"Superficial deposits",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Coarse soil units,"Hard substrate that may be difficult to penetrate."
Diamicton,Sediments,Lithology,Lithology,"Superficial deposits",Moderate constraint,Higher Constraint,Moderate constraint,Moderate constraint,Overconsolidated clays,"Over consolidated clay or associated presence of boulder fields can cause challenges for construction."
"Carbonate sands",Sediments,Lithology,Lithology,"Calcareous and carbonate soils consisting partially or completely of calcium carbonate. Calcium carbonate is a relatively soft mineral compared with silica-based soils.",Moderate constraint,Moderate constraint,Moderate constraint,Moderate constraint,Crushable soil,"The crushability of carbonate grains make carbonate sands unreliable foundation materials. Calcareous sands are difficult to classify and can be highly contractive."
Evaporites,Sediments,Lithology,Lithology,"Any of a variety of individual minerals found in sedimentary deposits of soluble salts that results from evaporation of water. Can influence shallow structure.",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Uneven ground,"Can form doming features in the subsurface or at seabed and prone to moving."
"Basin / basin plain",Physiography,Relief,Relief,"A depression more or less equidimensional in plan and of variable extent.",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Soft soil units,"Soft sediments likely to be deposited in deep basins."
"Shelf break",Physiography,Relief,Relief,"The line along which there is marked increase in slope at the seaward margin of a shelf.",Higher Constraint,Higher Constraint,Higher Constraint,Moderate constraint,">5 degree slope","May require seabed preparation before installation of foundations however if steep slopes then the site is likely going to be problematic to develop."
