Geological_Feature,Setting,Process,Definition,Piles_Assessment,Suction_Caisson_Assessment,GBS_Assessment,Cables_Assessment,Dominant_Constraint,Comments
"Peat (organic-rich)",Sediments,Lithology,"Superficial deposits. Type of soil formed by the partial decomposition of vegetation matter (Cook et al., 2022). Includes submerged forests.",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Organic soils,"Organic soils can also be associated with biogenic gas due to the breakdown of organic matter. Fibrous peats have the ability to reinforce soils, causing issues for cable trenching works, and can also provide fluid migration pathways."
Glauconite,Sediments,Lithology,"Superficial deposits. Glauconite is an iron potassium mica with a characteristically green colour and low strength, often found in peloidal form. Glauconite generally forms under reducing conditions within a shallow marine depositional environment. Glauconite can be characterised as sand-sized grains but transforms into fine-grained soil upon shearing due to particle crushing.",Higher Constraint,Higher Constraint,Higher Constraint,Moderate constraint,Crushable soil,"Crushing of glauconite results in high pile friction and transition from sand to clay-like behaviour. May result in pile fatigue or refusal. Difference in properties between allogenic (reworked) vs. authogenic (insitu). Reworked glauconite can wash away weaker minerals."
"Soft mud",Sediments,Lithology,"Superficial deposits. May include marine mud basins including soft glaciolacustrine/glaciomarine (not overconsolidated) mud deposition or other soft muddy shelfful deposits.",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Soft sediments,"A hard stratum overlying a weaker one presents a danger that may cause a foundation to punch through the softer sediments. Low strength means soft muds will not bear large loads. Acid sulphate soils (ASS) may contain harmful substances affecting cables, when exposed and/or dredged in coastal areas (Finland)."
"Soft interbedded sediment",Sediments,Lithology,"Superficial deposits",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Soft sediments,"A hard stratum overlying a weaker one presents a danger that may cause a foundation to punch through the softer sediments. Interbedded layers of soft/hard material can cause differential settlement."
"Interbedded sediments",Sediments,Lithology,"Superficial deposits",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Interbedded sediments,"The level of Constraint will depend on the thickness, soil type and consistency (strength) of the soil and therefore these 'Constraint' levels are indicative only. Interbedded layers of soft/hard material can cause differential settlement."
"Firm to hard mud",Sediments,Lithology,"Superficial deposits",Moderate constraint,Higher Constraint,Moderate constraint,Moderate constraint,Homogenous sediments,"Avoided soils for suction buckets."
Sand,Sediments,Lithology,"Superficial deposits",Lower Constraint,Moderate constraint,Higher Constraint,Lower Constraint,Homogenous sediments,"Present-day sands may be related to mobile sediments. Dense sands could be problematic for suction buckets. Loose sands would be problematic for GBS."
Gravel,Sediments,Lithology,"Superficial deposits",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,"Coarse soil units (including gravel)","Hard substate that may be difficult to penetrate."
Diamicton,Sediments,Lithology,"Superficial deposits",Moderate constraint,Higher Constraint,Moderate constraint,Moderate constraint,Overconsolidated clays,"Over consolidated clay or associated presence of boulder fields can cause challenges for construction (e.g., Finland)"
"Carbonate sands",Sediments,Lithology,"Calcareous and carbonate soils can be identified by their reaction with dilute hydrochloric acid, producing carbon dioxide that bubbles off. The grains consists partially or completely of calcium carbonate and may be formed of the skeletal remains of microscopic marine plant and animal remains. Calcium carbonate is a relatively soft mineral compared with silica-based soils (Mitchell and Soga, 2005).",Moderate constraint,Moderate constraint,Moderate constraint,Moderate constraint,Crushable soil,"The crushability of carbonate grains make carbonate sands unreliable foundation materials (Murff, 1987; Jewell and Khorshid 2000; Kolk, 2000). Calcareous sands are difficult to classify and can be highly contractive."
Evaporites,Sediments,Lithology,"Any of a variety of individual minerals found in the sedimentary deposit of soluble salts that results from the evaporation of water. Can influence shallow structure (e.g. faulting)",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Uneven ground,"Can form doming features in the subsurface or at seabed (diapirs) and prone to moving"
"Basin / basin plain / intraslope basin",Physiography,Relief,"A depression more or less equidimensional in plan and of variable extent. (Stagpoole and Mackay, 2022)",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Soft soil units,"Soft sediments likely to be deposited in deep basins"
"Shelf break",Physiography,Relief,"The line along which there is a marked increase in slope at the seaward margin of a SHELF. Also called SHELF BREAK.",Higher Constraint,Higher Constraint,Higher Constraint,Moderate constraint,">5 degree slope","May require seabed preparation before installation of foundations, however if steep slopes then the site is likely going to be problematic to develop. Cables have ability to"
Mound,Physiography,Relief,"A distinct elevation with a rounded profile generally less than 500 m above the surrounding relief as measured from the deepest isobath that surrounds most of the feature. Sides are usually steeper than 5 degrees. (Stagpoole and Mackay, 2022)",Moderate constraint,Moderate constraint,Moderate constraint,Moderate constraint,Uneven ground,"May require seabed preparation before installation of foundations."
"Glacifluvial delta (aka. glacier-fed delta)",Glacial,"Lithology, relief","There are many different kinds of deltas; all have relatively flat delta plains, frequently triangular (fan) shaped in plan view, and steeper delta front slopes. In cross-section, the archetypal delta consists of flat-lying topset beds over steeper foreset beds, which rest on bottomset beds that are usually thin and fine-grained. The typical GLACIFLUVIAL DELTA usually consists of coarser-grained sediments, and their front slopes are steep with foreset beds generally dipping 10-30° Bell et al. 1997. In: Dowdeswell et al., 2016). GLACIFLUVIAL DELTAS are also referred to as glacier-fed deltas as terrestrial proglacial meltwater streams/rivers carry sediments from a glacier to the marine/lacustrine environment (Benn and Evans, 2010).",Moderate constraint,Moderate constraint,Higher Constraint,Moderate constraint,"Uneven ground / coarse soil units / homogeneous soils","May require seabed preparation before installation of foundations. Variable soil units provide a challenge for suction caisson, particularly where potential thick gravel beds are interbedded with finer-grained soil units. Thick gravel beds can reduce friction along the outer surface. Potential for coarse gravel beds, and variability in soil profiles over the delta. This makes selecting a cable trenching tool more challenging as some tools can handle dense, coarse soil units whereas some cannot."
"Erratic or glaciotectonic raft",Glacial,"Lithology, relief","Large rock or boulder carried by a glacier or by floating ice and deposited when the ice melted, well away from its place of origin and therefore contrasting with the country rock (Bell et al. 1997. In: Dowdeswell et al., 2016)",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Rafts or boulders,"If unaccounted for, can provide significant challenge/constraint to most/all subsurface foundations (e.g., pile refusal / tip damage, damage / refusal or uneven emplacement of suction caisson and skirts for gravity base structures, cable/pipeline plough pop-up or deviation, poor penetration for drag embedment anchors). Significant and unexpected vertical and lateral variability in ground conditions incl. geotechnical parameters."
Esker,Glacial,"Lithology, relief","Sinuous elongate ridges of glaciofluvial sands and gravels, usually stratified and imbricated. Rarely exceed 700 m width and 50 m height. Form by depositional from meltwater streams in tunnel systems running perpendicular to the ice front.",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Heterogeneous sediments,"Typically comprise sand and gravel deposited by meltwater within or beneath an ice mass. Can be dense. Eskers are also possible resources for aggregates (e.g., Finland)."
"Marine bar form (Contourite drift/ sediment apron/ sediment drift/ sediment lobe/energetic wave or current regime)",Marine,"Lithology, relief","Tend to be larger than CURRENT-INDUCED BEDFORMS (e.g. Venditti, 2013), are often forced by macro-scale topography (e.g. channels – point bar; headlands - banner), and develop over longer periods of time (e.g. Dury, 1970).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active sedimentary system,"Indicative of mobile sediments. Mobility may remove sediment from around the foundation and buried skirt, anchor, or conversely may increase lateral loading on side of foundation. Mobility may remove sediment overlying the buried cable which will leave it at risk from anchor interactions, and conversely may increase the sediment volume overlying the buried cable which can result in the cable exceeding the thermal threshold and hotspots developing."
